Person,Week,y,price
1.0,1.0,0.0,6.088
2.0,1.0,0.0,6.088
3.0,1.0,0.0,6.088
4.0,1.0,1.0,6.088
5.0,1.0,0.0,6.088
6.0,1.0,0.0,6.088
7.0,1.0,0.0,6.088
8.0,1.0,0.0,6.088
9.0,1.0,0.0,6.088
10.0,1.0,1.0,6.088
11.0,1.0,1.0,6.088
12.0,1.0,1.0,6.088
13.0,1.0,0.0,6.088
14.0,1.0,0.0,6.088
15.0,1.0,0.0,6.088
16.0,1.0,0.0,6.088
17.0,1.0,0.0,6.088
18.0,1.0,1.0,6.088
19.0,1.0,0.0,6.088
20.0,1.0,0.0,6.088
21.0,1.0,0.0,6.088
22.0,1.0,0.0,6.088
23.0,1.0,0.0,6.088
24.0,1.0,0.0,6.088
25.0,1.0,0.0,6.088
26.0,1.0,0.0,6.088
27.0,1.0,0.0,6.088
28.0,1.0,0.0,6.088
29.0,1.0,0.0,6.088
30.0,1.0,0.0,6.088
31.0,1.0,0.0,6.088
32.0,1.0,0.0,6.088
33.0,1.0,0.0,6.088
34.0,1.0,0.0,6.088
35.0,1.0,0.0,6.088
36.0,1.0,0.0,6.088
37.0,1.0,0.0,6.088
38.0,1.0,0.0,6.088
39.0,1.0,0.0,6.088
40.0,1.0,0.0,6.088
41.0,1.0,0.0,6.088
42.0,1.0,1.0,6.088
43.0,1.0,0.0,6.088
44.0,1.0,0.0,6.088
45.0,1.0,0.0,6.088
46.0,1.0,0.0,6.088
47.0,1.0,0.0,6.088
48.0,1.0,0.0,6.088
49.0,1.0,1.0,6.088
50.0,1.0,0.0,6.088
51.0,1.0,0.0,6.088
52.0,1.0,0.0,6.088
53.0,1.0,0.0,6.088
54.0,1.0,0.0,6.088
55.0,1.0,0.0,6.088
56.0,1.0,0.0,6.088
57.0,1.0,0.0,6.088
58.0,1.0,0.0,6.088
59.0,1.0,0.0,6.088
60.0,1.0,0.0,6.088
61.0,1.0,0.0,6.088
62.0,1.0,1.0,6.088
63.0,1.0,0.0,6.088
64.0,1.0,0.0,6.088
65.0,1.0,0.0,6.088
66.0,1.0,1.0,6.088
67.0,1.0,0.0,6.088
68.0,1.0,0.0,6.088
69.0,1.0,0.0,6.088
70.0,1.0,1.0,6.088
71.0,1.0,0.0,6.088
72.0,1.0,0.0,6.088
73.0,1.0,0.0,6.088
74.0,1.0,0.0,6.088
75.0,1.0,0.0,6.088
76.0,1.0,0.0,6.088
77.0,1.0,0.0,6.088
78.0,1.0,0.0,6.088
79.0,1.0,0.0,6.088
80.0,1.0,0.0,6.088
81.0,1.0,0.0,6.088
82.0,1.0,0.0,6.088
83.0,1.0,0.0,6.088
84.0,1.0,0.0,6.088
85.0,1.0,0.0,6.088
86.0,1.0,0.0,6.088
87.0,1.0,0.0,6.088
88.0,1.0,0.0,6.088
89.0,1.0,0.0,6.088
90.0,1.0,0.0,6.088
91.0,1.0,0.0,6.088
92.0,1.0,0.0,6.088
93.0,1.0,0.0,6.088
94.0,1.0,0.0,6.088
95.0,1.0,0.0,6.088
96.0,1.0,0.0,6.088
97.0,1.0,0.0,6.088
